,ภาค,จังหวัด,เพศ,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564
149,ภาคตะวันออกเฉียงเหนือ,สุรินทร์,หญิง,7209.0,6509.0,6579.0,6224.0,5957.0,5765.0,5559.0,5026.0,4848.0,4527.0
150,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,รวม,14374.0,13106.0,12923.0,12097.0,11658.0,11163.0,10516.0,10103.0,9904.0,9462.0
151,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,ชาย,7310.0,6702.0,6638.0,6187.0,5945.0,5738.0,5472.0,5183.0,5170.0,4906.0
152,ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,หญิง,7064.0,6404.0,6285.0,5910.0,5713.0,5425.0,5044.0,4920.0,4734.0,4556.0
153,ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,รวม,21802.0,20122.0,19947.0,18783.0,18170.0,17574.0,17089.0,16541.0,15726.0,15051.0
154,ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,ชาย,11194.0,10261.0,10302.0,9474.0,9340.0,9038.0,8794.0,8442.0,8144.0,7688.0
155,ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,หญิง,10608.0,9861.0,9645.0,9309.0,8830.0,8536.0,8295.0,8099.0,7582.0,7363.0
156,ภาคตะวันออกเฉียงเหนือ,ยโสธร,รวม,4994.0,4659.0,4422.0,4325.0,4073.0,3823.0,3581.0,3355.0,3407.0,3420.0
157,ภาคตะวันออกเฉียงเหนือ,ยโสธร,ชาย,2508.0,2366.0,2272.0,2150.0,2137.0,1953.0,1804.0,1712.0,1745.0,1750.0
158,ภาคตะวันออกเฉียงเหนือ,ยโสธร,หญิง,2486.0,2293.0,2150.0,2175.0,1936.0,1870.0,1777.0,1643.0,1662.0,1670.0
159,ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,รวม,10728.0,9779.0,9623.0,8892.0,8500.0,8470.0,8067.0,7463.0,7336.0,6813.0
160,ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,ชาย,5547.0,5012.0,4933.0,4592.0,4415.0,4320.0,4059.0,3809.0,3807.0,3505.0
161,ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,หญิง,5181.0,4767.0,4690.0,4300.0,4085.0,4150.0,4008.0,3654.0,3529.0,3308.0
162,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,รวม,3627.0,3464.0,3283.0,3036.0,2938.0,3045.0,2841.0,2475.0,2637.0,2648.0
163,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,ชาย,1849.0,1731.0,1661.0,1509.0,1527.0,1531.0,1455.0,1336.0,1328.0,1375.0
164,ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,หญิง,1778.0,1733.0,1622.0,1527.0,1411.0,1514.0,1386.0,1139.0,1309.0,1273.0
165,ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,รวม,5341.0,4971.0,4463.0,4117.0,3795.0,3721.0,3726.0,3359.0,3248.0,3093.0
166,ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,ชาย,2704.0,2513.0,2377.0,2145.0,1974.0,1873.0,1907.0,1623.0,1693.0,1572.0
